OrderID,OrderDate,ProductID,CustomerID,BranchID,Quantity,Revenue,Profit,Channel
2025-Q1-00001,2025-02-13,AC-15HP-CS,C064,B02,1,10821000.0,1680000.0,Offline
2025-Q1-00002,2025-01-12,MW-PANA-25,C090,B15,2,6129000.0,1051000.0,Online
2025-Q1-00003,2025-03-12,AC-1HP-CS,C043,B10,1,8844000.0,1590000.0,Online
2025-Q1-00004,2025-02-03,WH-ARIST-30,C016,B10,2,6589000.0,1135000.0,Offline
2025-Q1-00005,2025-02-18,AIR-PURI-60,C065,B05,2,14739000.0,2365000.0,Online
2025-Q1-00006,2025-03-18,AC-15HP-CS,C043,B20,2,24087000.0,3805000.0,Online
2025-Q1-00007,2025-02-21,AC-1HP-CS,C093,B14,2,17055000.0,2564000.0,Online
2025-Q1-00008,2025-03-08,KTL-PANA-20,C056,B19,1,909000.0,109000.0,Online
2025-Q1-00009,2025-01-12,MW-SHARP-23,C068,B03,1,2113000.0,380000.0,Online
2025-Q1-00010,2025-03-23,AC-15HP-CP,C091,B10,1,7349000.0,1206000.0,Offline
2025-Q1-00011,2025-03-23,FAN-ASIA-40,C021,B13,3,1730000.0,214000.0,Online
2025-Q1-00012,2025-02-24,RC-SHARP-20,C053,B07,3,5984000.0,940000.0,Online
2025-Q1-00013,2025-03-31,WH-ARIST-30,C095,B07,1,3312000.0,509000.0,Offline
2025-Q1-00014,2025-01-10,MW-PANA-25,C043,B04,1,3365000.0,410000.0,Online
2025-Q1-00015,2025-01-13,RC-TOSH-18,C074,B15,1,1680000.0,241000.0,Online
2025-Q1-00016,2025-01-30,MW-SHARP-23,C083,B12,2,4719000.0,702000.0,Online
2025-Q1-00017,2025-02-16,RC-SHARP-20,C092,B09,1,2085000.0,271000.0,Offline
2025-Q1-00018,2025-01-05,MW-PANA-25,C017,B14,1,3177000.0,559000.0,Offline
2025-Q1-00019,2025-02-28,WM-PANA-11,C082,B18,1,11449000.0,1588000.0,Offline
2025-Q1-00020,2025-03-27,WH-ROSSI-20,C096,B17,1,2053000.0,263000.0,Offline
2025-Q1-00021,2025-03-04,KTL-ELUX-17,C075,B10,2,1521000.0,210000.0,Online
2025-Q1-00022,2025-02-12,AIR-PURI-40,C061,B04,2,9091000.0,1592000.0,Offline
2025-Q1-00023,2025-02-12,WM-AQUA-9,C075,B11,2,15716000.0,2454000.0,Offline
2025-Q1-00024,2025-01-09,KTL-ELUX-17,C053,B08,1,768000.0,128000.0,Offline
2025-Q1-00025,2025-03-11,WH-ARIST-30,C064,B02,1,3537000.0,538000.0,Offline
2025-Q1-00026,2025-02-15,RC-SHARP-20,C052,B02,1,1864000.0,267000.0,Online
