OrderID,OrderDate,ProductID,CustomerID,BranchID,Quantity,Revenue,Profit,Channel
2025-Q2-00001,2025-05-24,VAC-ELUX-18,C095,B19,1,2065000.0,332000.0,Offline
2025-Q2-00002,2025-04-26,MW-PANA-25,C010,B04,1,3151000.0,543000.0,Offline
2025-Q2-00003,2025-06-05,KTL-PANA-20,C003,B07,3,2590000.0,343000.0,Online
2025-Q2-00004,2025-04-04,AC-1HP-CP,C030,B17,1,6094000.0,999000.0,Offline
2025-Q2-00005,2025-05-30,AC-1HP-CS,C099,B02,1,9279000.0,1250000.0,Offline
2025-Q2-00006,2025-04-05,AIR-PURI-60,C028,B06,1,6813000.0,1115000.0,Online
2025-Q2-00007,2025-06-17,FAN-ASIA-40,C021,B17,1,579000.0,104000.0,Offline
2025-Q2-00008,2025-04-25,FAN-PANA-45,C016,B15,1,1134000.0,165000.0,Offline
2025-Q2-00009,2025-04-27,FAN-ASIA-40,C097,B18,1,609000.0,104000.0,Online
2025-Q2-00010,2025-04-01,AC-1HP-CP,C064,B02,2,11744000.0,1462000.0,Online
2025-Q2-00011,2025-06-24,AC-15HP-CP,C074,B08,2,15913000.0,2103000.0,Online
2025-Q2-00012,2025-06-27,AIR-PURI-60,C020,B08,2,14240000.0,2371000.0,Offline
2025-Q2-00013,2025-05-17,WH-ARIST-30,C005,B15,1,3432000.0,487000.0,Online
2025-Q2-00014,2025-04-05,AC-1HP-CP,C020,B18,2,11902000.0,2055000.0,Online
2025-Q2-00015,2025-05-09,AC-15HP-CS,C079,B16,1,10434000.0,1872000.0,Online
2025-Q2-00016,2025-05-04,FAN-ASIA-40,C063,B17,2,1173000.0,161000.0,Offline
2025-Q2-00017,2025-04-19,AC-1HP-CP,C028,B05,1,6257000.0,1068000.0,Offline
2025-Q2-00018,2025-04-03,MW-PANA-25,C020,B11,1,3255000.0,438000.0,Offline
2025-Q2-00019,2025-05-21,WM-PANA-11,C042,B06,1,11683000.0,1417000.0,Offline
2025-Q2-00020,2025-06-10,AC-15HP-CP,C067,B14,1,7798000.0,1073000.0,Offline
2025-Q2-00021,2025-06-13,AC-1HP-CP,C092,B12,1,5735000.0,888000.0,Offline
2025-Q2-00022,2025-06-21,AC-15HP-CS,C045,B15,2,22208000.0,3296000.0,Offline
2025-Q2-00023,2025-06-25,AC-15HP-CP,C010,B09,2,15479000.0,2660000.0,Online
2025-Q2-00024,2025-04-12,AC-1HP-CP,C031,B10,2,11420000.0,1533000.0,Offline
2025-Q2-00025,2025-04-06,FAN-PANA-45,C018,B18,2,2136000.0,293000.0,Offline
2025-Q2-00026,2025-06-01,VAC-ELUX-18,C065,B07,1,2262000.0,287000.0,Offline
2025-Q2-00027,2025-06-30,MW-PANA-25,C068,B20,1,3373000.0,560000.0,Offline
2025-Q2-00028,2025-04-15,AIR-PURI-40,C037,B05,1,4416000.0,647000.0,Offline
2025-Q2-00029,2025-04-25,AC-1HP-CP,C023,B06,1,6176000.0,925000.0,Offline
2025-Q2-00030,2025-06-30,RC-TOSH-18,C077,B09,2,3288000.0,552000.0,Offline
2025-Q2-00031,2025-05-03,AC-15HP-CP,C066,B16,2,15399000.0,2493000.0,Offline
2025-Q2-00032,2025-06-15,FAN-PANA-45,C079,B05,2,2311000.0,311000.0,Offline
2025-Q2-00033,2025-05-09,AC-1HP-CP,C091,B17,1,5603000.0,955000.0,Offline
2025-Q2-00034,2025-05-30,MW-PANA-25,C012,B16,1,3284000.0,573000.0,Online
2025-Q2-00035,2025-05-22,MW-SHARP-23,C030,B06,2,4389000.0,593000.0,Offline
2025-Q2-00036,2025-06-20,VAC-ELUX-18,C089,B14,2,4198000.0,727000.0,Online
2025-Q2-00037,2025-04-14,KTL-ELUX-17,C091,B15,3,2271000.0,341000.0,Offline
2025-Q2-00038,2025-04-22,FAN-ASIA-40,C087,B18,2,1184000.0,182000.0,Offline
2025-Q2-00039,2025-06-19,AC-1HP-CP,C065,B19,2,12693000.0,2079000.0,Offline
2025-Q2-00040,2025-04-27,VAC-PANA-16,C048,B20,1,2733000.0,376000.0,Online
2025-Q2-00041,2025-05-11,FAN-PANA-45,C008,B09,3,3411000.0,603000.0,Offline
2025-Q2-00042,2025-04-21,RC-TOSH-18,C059,B11,1,1564000.0,221000.0,Online
2025-Q2-00043,2025-06-18,VAC-PANA-16,C013,B01,1,2658000.0,396000.0,Online
2025-Q2-00044,2025-05-07,FAN-PANA-45,C023,B20,2,2541000.0,439000.0,Online
2025-Q2-00045,2025-05-31,FAN-ASIA-40,C004,B03,2,1187000.0,169000.0,Online
2025-Q2-00046,2025-04-23,AC-1HP-CS,C007,B09,2,17669000.0,2986000.0,Offline
2025-Q2-00047,2025-06-16,AIR-PURI-60,C064,B14,1,7625000.0,1306000.0,Offline
2025-Q2-00048,2025-06-01,MW-SHARP-23,C015,B18,2,4243000.0,560000.0,Offline
2025-Q2-00049,2025-06-07,AC-15HP-CS,C044,B11,1,10708000.0,1348000.0,Online
2025-Q2-00050,2025-04-20,AC-15HP-CP,C002,B10,1,8305000.0,1180000.0,Offline
