OrderID,OrderDate,ProductID,CustomerID,BranchID,Quantity,Revenue,Profit,Channel
2024-Q3-00001,2024-09-23,FAN-PANA-45,C071,B07,2,2319000.0,345000.0,Online
2024-Q3-00002,2024-08-09,RC-SHARP-20,C019,B16,1,1950000.0,349000.0,Online
2024-Q3-00003,2024-09-12,WM-PANA-11,C025,B08,1,10711000.0,1860000.0,Offline
2024-Q3-00004,2024-08-13,AC-1HP-CS,C046,B14,2,17463000.0,2365000.0,Offline
2024-Q3-00005,2024-08-25,FAN-ASIA-40,C013,B02,1,601000.0,102000.0,Online
2024-Q3-00006,2024-09-16,MW-SHARP-23,C003,B20,3,7137000.0,1166000.0,Online
2024-Q3-00007,2024-09-05,AC-1HP-CS,C084,B11,1,9389000.0,1355000.0,Offline
2024-Q3-00008,2024-09-07,AIR-PURI-60,C064,B03,1,7199000.0,908000.0,Online
2024-Q3-00009,2024-08-03,AC-1HP-CP,C096,B19,1,5646000.0,717000.0,Offline
2024-Q3-00010,2024-07-02,KTL-PANA-20,C026,B04,1,939000.0,123000.0,Online
2024-Q3-00011,2024-08-17,AC-15HP-CP,C087,B15,2,16382000.0,2002000.0,Offline
2024-Q3-00012,2024-07-28,AC-1HP-CP,C085,B08,1,6026000.0,868000.0,Online
2024-Q3-00013,2024-07-24,AC-1HP-CP,C087,B19,1,5980000.0,1058000.0,Offline
2024-Q3-00014,2024-08-14,FAN-PANA-45,C099,B12,2,2288000.0,293000.0,Online
2024-Q3-00015,2024-09-03,FAN-ASIA-40,C048,B07,3,1875000.0,306000.0,Offline
2024-Q3-00016,2024-09-28,AC-1HP-CP,C045,B12,2,12854000.0,1774000.0,Online
2024-Q3-00017,2024-09-08,AIR-PURI-60,C023,B01,2,14558000.0,2046000.0,Offline
2024-Q3-00018,2024-08-18,VAC-ELUX-18,C062,B01,1,1948000.0,317000.0,Offline
2024-Q3-00019,2024-09-29,RC-TOSH-18,C012,B11,1,1545000.0,264000.0,Offline
2024-Q3-00020,2024-09-13,FAN-PANA-45,C026,B06,2,2088000.0,283000.0,Online
2024-Q3-00021,2024-09-29,AC-15HP-CS,C025,B04,2,22423000.0,3524000.0,Offline
2024-Q3-00022,2024-09-08,AC-1HP-CS,C051,B12,1,8895000.0,1533000.0,Online
2024-Q3-00023,2024-08-13,FAN-PANA-45,C094,B11,1,1219000.0,173000.0,Online
2024-Q3-00024,2024-07-17,VAC-ELUX-18,C040,B17,1,2053000.0,324000.0,Offline
2024-Q3-00025,2024-08-12,AC-15HP-CP,C098,B15,2,15540000.0,1977000.0,Offline
2024-Q3-00026,2024-09-30,AIR-PURI-40,C001,B06,2,9423000.0,1578000.0,Offline
2024-Q3-00027,2024-08-07,FAN-PANA-45,C057,B14,2,2172000.0,359000.0,Online
